2,1986
4,1950
6,1994
9,2004
12,1988
13,1964
16,1987
18,1989
19,1951
20,1991
22,1991
23,1985
24,1958
26,1976
29,1972
32,2000
33,1960
34,1956
37,2003
39,1969
42,1999
45,1963
48,2001
51,1988
54,1980
56,1969
58,1963
60,1953
61,1989
63,1954
65,1979
66,1951
68,2003
70,1980
73,1995
74,1980
77,1995
79,1988
80,1991
81,1964
82,2003
85,1998
86,1973
88,1966
91,1958
94,1981
95,1965
98,1976
101,1978
104,1996
105,2003
107,1987
109,1954
111,1951
112,1987
114,1968
117,1974
119,1989
121,1961
123,1950
126,1993
128,1969
131,1998
134,1952
135,1971
136,1976
138,1957
139,1999
140,1975
143,2003
144,1970
145,1965
148,1975
149,1984
151,1995
154,1977
157,1989
158,1965
160,1953
163,2003
165,1953
166,2001
167,1993
170,1993
172,1988
173,1996
174,1951
175,1984
178,1967
180,1995
182,1965
183,1994
186,1977
187,1982
190,1953
193,1987
195,1952
197,1971
198,1976
199,2004
