4,1950
6,1994
13,1964
16,1987
24,1958
26,1976
33,1960
34,1956
37,2003
39,1969
42,1999
45,1963
48,2001
51,1988
54,1980
56,1969
58,1963
63,1954
66,1951
68,2003
70,1980
73,1995
74,1980
77,1995
80,1991
82,2003
85,1998
88,1966
94,1981
101,1949
104,2006
107,1987
112,1987
114,1968
117,1974
119,1989
121,1961
123,1950
128,1969
131,1998
134,1952
136,1976
138,1957
140,1975
143,2003
144,1970
145,1965
151,1995
154,1977
157,1989
158,1965
160,1953
165,1953
166,2001
167,1993
173,1996
174,1951
175,1984
178,1967
182,1965
183,1994
187,1982
195,1952
197,1971
198,1976
199,2004
201,1949
202,1998
203,1957
205,1984
207,1991
208,1995
211,1960
213,1998
214,1987
215,2001
216,1981
218,1953
232,1964
235,1958
238,1996
242,1993
246,1984
248,2002
251,2002
257,1975
261,1965
266,1959
268,1970
271,1983
272,1953
276,2000
279,1971
282,2001
284,1962
286,1968
289,1979
291,1999
292,1954
293,1959
296,1973
298,1957
299,1992
305,1964
307,1959
308,1990
313,1999
316,1992
317,1996
318,1999
320,1956
321,1988
324,1953
326,1981
328,1963
331,2001
337,1962
342,1977
347,1996
349,1969
353,1973
356,1995
360,1963
363,1981
374,2004
375,1997
378,1963
380,1994
382,1955
384,1980
391,1956
392,1963
394,1966
398,1978
401,1960
404,2000
405,1951
408,1978
413,1990
418,1992
422,1964
424,1989
427,1974
430,1961
431,1954
432,2001
435,1985
437,1999
440,1969
443,1999
446,1996
451,1966
454,1965
460,1959
463,1984
469,2002
471,1953
474,1998
476,1983
477,1989
479,1963
486,1997
491,2003
494,1984
495,1985
497,1953
500,1974
504,1961
507,1975
513,1963
517,1994
520,1987
524,2002
527,1982
530,1970
534,1961
537,1973
539,1987
542,1967
547,1951
551,2001
554,1954
557,1999
558,1968
561,1967
562,1950
565,1957
567,1964
570,1959
572,1986
573,1952
575,1991
579,2001
581,1997
584,1982
592,1958
597,1982
602,1981
606,1962
607,1996
610,1984
611,1990
612,2004
614,1998
617,1961
619,1956
627,1961
629,1997
636,1986
639,1953
644,1992
650,1999
656,1971
662,1967
664,1990
666,1985
669,1976
671,1956
674,1975
676,1956
679,1965
682,1957
683,1961
685,1980
688,1956
691,1985
696,1980
697,1959
699,1975
711,1973
713,1965
714,1993
717,2003
719,1950
720,1977
723,1993
729,1958
735,1973
742,1987
745,1956
750,1952
752,1995
753,2002
755,1973
758,1970
760,1991
761,1962
762,1959
768,1983
771,1978
773,1973
782,1955
783,1993
786,1960
789,1976
796,1977
799,1960
801,1984
802,1978
806,1995
809,1995
811,1983
815,1989
818,1994
820,1997
822,1966
827,1987
831,2004
839,1996
840,1961
842,1963
843,1956
847,1972
850,1995
851,1997
854,1963
859,1992
862,1988
865,2001
